,pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
21,I9,Othr Rubber Prodct Excpt Footw,Na,U S A,564807512.0,582.67665,Rubber Products,5.0,329000000000.0,2012.0
22,G7,Silver,Kgs,U S A,68606839.0,34.62627,Metals,2.0,2375598931.0,2012.0
23,Q4,Wool,Kgs,U S A,11822612.0,211.01207799999997,Fabric Materials,14.0,2494713926.0,2012.0
24,H9,Agro Chemicals,Kgs,U S A,319251.0,182.75617,Fertilizers,3.0,58345090.03,2012.0
25,R8,Floor Cvrng Of Jute,Sqm,U S A,218.0,0.001491,Handicrafts,12.0,0.325038,2012.0
26,G3,Leather Footwear Component,Kgs,U S A,420.0,0.01119,Leather Products,1.0,4.6998,2012.0
27,I8,Auto Tyres And Tubes,Nos,U S A,75038.0,5.744987,Rubber Products,5.0,431092.3345,2012.0
28,I8,Auto Tyres And Tubes,Nos,U S A,23392.0,1.095551,Rubber Products,5.0,25627.12899,2012.0
29,P7,Cotton Yarn,Ton,U S A,21.0,0.025682999999999997,Fabric Materials,14.0,0.539343,2012.0
30,K5,"Human Hair, Products Thereo",Kgs,U S A,75.0,0.000594,Cosmetics,6.0,0.04455,2012.0
31,G3,Leather Footwear Component,Kgs,U S A,18348.0,0.29217600000000005,Leather Products,1.0,5360.845248,2012.0
32,Q3,"Manmade Yarn,Fabrics,Madeups",Na,U S A,4975.0,0.6968770000000001,Fabric Materials,14.0,3466.963075,2012.0
33,M2,Oth Non Ferous Metal And Prodc,Kgs,U S A,67125.0,0.085633,Metals,2.0,5748.115125,2012.0
34,K9,"Plastc Sht, Film, Plts Etc",Kgs,U S A,491501.0,29.580681,Plastic Products,8.0,14538934.29,2012.0
35,M3,Auto Components/Parts,Na,U K,17.0,0.045104000000000005,Machinery and Parts,10.0,0.766768,2012.0
36,P3,Washing Machine,Na,U K,74.0,0.015487,Electronic Components,11.0,1.146038,2012.0
37,I6,Plastic tubes,Kgs,U K,780913.0,0.810802,Plastic Materials,8.0,633165.8222,2012.0
38,G3,Leather Footwear Component,Kgs,U K,205737.0,63.59849200000001,Leather Products,1.0,13084562.95,2012.0
39,G1,Leather Garments,Kgs,U K,5101138.0,20.926239000000002,Leather Products,1.0,106747633.0,2012.0
40,Q3,"Manmade Yarn,Fabrics,Madeups",Na,U K,214919.0,0.40833600000000003,Fabric Materials,14.0,87759.16477999999,2012.0
41,P6,Manmade Staple Fibre,Kgs,China,34131445.0,0.013597999999999999,Fabric Materials,14.0,464119.3891,2012.0
42,G6,Gold,Kgs,U Arab Emts,11030.0,0.021334,Metals,2.0,235.31402000000003,2012.0
43,G3,Leather Footwear Component,Kgs,U Arab Emts,20808.0,0.042934,Leather Products,1.0,893.370672,2012.0
44,P8,"Cotton Fabrics, Madeups Etc.",Na,U Arab Emts,13394.0,0.092203,Fabric Materials,14.0,1234.966982,2012.0
45,H6,Dye Intermediates,Kgs,U Arab Emts,7682.0,0.087546,Dyes,7.0,672.528372,2012.0
46,N4,Refrigerator,Na,U Arab Emts,1131369.0,7.454451,Electronic Components,11.0,8433734.773,2012.0
47,L5,"Aluminium, Products Of Aluminm",Ton,U Arab Emts,232477.0,0.285634,Metals,2.0,66403.33542,2012.0
48,I2,Inorganic Chemicals,Kgs,U Arab Emts,108.0,0.23322800000000002,Chemicals,7.0,25.188624,2012.0
49,L3,Iron And Steel,Ton,China,1015933.0,39.131871000000004,Metals,2.0,39755359.1,2012.0
50,R6,Jute Yarn,Ton,China,548538.0,0.486289,Fabric Materials,14.0,266747.9955,2012.0
51,K8,Plastic Raw Materials,Ton,China,720575.0,12.837168,Plastic Products,8.0,9250142.332,2012.0
52,H8,"Drug Formulations, Biologicals",Kgs,U Arab Emts,6.0,4.1e-05,Chemicals,7.0,0.000246,2012.0
53,K7,Packaging Materials,Ton,U Arab Emts,7080.0,9.894612,Plastic Products,8.0,70053.85296,2012.0
54,P6,Manmade Staple Fibre,Kgs,U Arab Emts,5.0,4.073971,Fabric Materials,14.0,20.369854999999998,2012.0
55,I9,Othr Rubber Prodct Excpt Footw,Na,U Arab Emts,439584.0,0.369073,Rubber Products,5.0,162238.5856,2012.0
56,Q9,Rmg Wool,Na,U Arab Emts,127.0,26.702679999999997,Fabric Materials,14.0,3391.2403600000002,2012.0
57,H5,"Bulk Drugs, Drug Intermediates",Kgs,Thailand,38.0,0.312164,Chemicals,7.0,11.862232,2012.0
58,L3,Iron And Steel,Ton,Thailand,4332.0,3.7657059999999998,Metals,2.0,16313.03839,2012.0
59,L5,"Aluminium, Products Of Aluminm",Ton,Sri Lanka ,349476.0,0.315471,Metals,2.0,110249.5432,2012.0
60,H5,"Bulk Drugs, Drug Intermediates",Kgs,Sri Lanka ,55602.0,0.534037,Chemicals,7.0,29693.52527,2012.0
61,K7,Packaging Materials,Ton,Sri Lanka ,149049.0,1.680191,Plastic Products,8.0,250430.7884,2012.0
62,L5,"Aluminium, Products Of Aluminm",Ton,Sri Lanka ,22.0,0.1608,Metals,2.0,3.5376,2012.0
63,K8,Plastic Raw Materials,Ton,Sri Lanka ,51665.0,89.333263,Plastic Products,8.0,4615403.033,2012.0
64,L6,Copper And Prdcts Made Of Copr,Ton,Sri Lanka ,1.0,0.001995,Metals,2.0,0.001995,2012.0
65,H7,Dyes,Kgs,Sri Lanka ,3.0,0.002591,Dyes,7.0,0.007773,2012.0
66,H2,Fertilizers Crude,Ton,Sri Lanka ,91424.0,0.10901,Fertilizers,3.0,9966.13024,2012.0
67,S6,Petroleum Products,Ton,Sri Lanka ,1578.0,1.296999,Petroleum Products,13.0,2046.6644219999998,2012.0
68,H4,Ayush And Herbal Products,Kgs,South Africa,4097.0,0.183978,Cosmetics,6.0,753.757866,2012.0
69,L3,Iron And Steel,Ton,South Africa,11934.0,12.172503,Metals,2.0,145266.6508,2012.0
70,Q9,Rmg Wool,Na,Singapore,2817.0,0.589359,Fabric Materials,14.0,1660.224303,2012.0
71,H4,Ayush And Herbal Products,Kgs,Saudi Arab,4900.0,0.100622,Cosmetics,6.0,493.0478,2012.0
72,L2,Other Plastic Items,Na,Saudi Arab,958.0,1.700045,Plastic Products,8.0,1628.64311,2012.0
73,H9,Agro Chemicals,Kgs,Saudi Arab,108443.0,0.302033,Fertilizers,3.0,32753.36462,2012.0
74,H7,Dyes,Kgs,Saudi Arab,97166.0,495.58059699999995,Dyes,7.0,48153584.29,2012.0
75,R8,Floor Cvrng Of Jute,Sqm,Saudi Arab,31396.0,0.223795,Handicrafts,12.0,7026.26782,2012.0
76,L3,Iron And Steel,Ton,Saudi Arab,1015.0,0.104121,Metals,2.0,105.68281499999999,2012.0
77,G1,Leather Garments,Kgs,Saudi Arab,2697.0,0.014136000000000001,Leather Products,1.0,38.124792,2012.0
78,L8,"Nickel, Product Made Of Nickel",Ton,Saudi Arab,12154065.0,4.585337,Metals,2.0,55730483.94,2012.0
79,K9,"Plastc Sht, Film, Plts Etc",Kgs,Saudi Arab,1020.0,0.026938999999999998,Plastic Products,8.0,27.47778,2012.0
80,H4,Ayush And Herbal Products,Kgs,Saudi Arab,993.0,6.8960669999999995,Cosmetics,6.0,6847.7945310000005,2012.0
81,I2,Inorganic Chemicals,Kgs,Saudi Arab,5.0,0.002576,Chemicals,7.0,0.01288,2012.0
82,H5,"Bulk Drugs, Drug Intermediates",Kgs,Saudi Arab,2571094.0,2.747026,Chemicals,7.0,7062862.066000001,2012.0
83,L6,Copper And Prdcts Made Of Copr,Ton,Saudi Arab,680.0,4.733758,Metals,2.0,3218.9554399999997,2012.0
84,I4,Other Miscellaenious Chemicals,Kgs,Saudi Arab,553182.0,3.43842,Chemicals,7.0,1902072.052,2012.0
85,O4,"Aircraft, Spacecraft And Parts",Na,Saudi Arab,1982.0,6.860142,Machinery and Parts,10.0,13596.801440000001,2012.0
86,M3,Auto Components/Parts,Na,Saudi Arab,258.0,0.002104,Machinery and Parts,10.0,0.542832,2012.0
87,S2,Carpet(Excl. Silk) Handmade,Sqm,Saudi Arab,12312865.0,32.057086,Handicrafts,12.0,394714572.2,2012.0
88,O9,"Computer Hardware, Peripherals",Na,Russia,3605.0,8.991225,Machinery and Parts,10.0,32413.366130000002,2012.0
89,I5,Cosmetics And Toiletries,Na,Russia,61.0,0.03586,Cosmetics,6.0,2.1874599999999997,2012.0
90,S4,Cotton Raw Incld. Waste,Ton,Russia,12794.0,66.0369,Fabric Materials,14.0,844876.0986,2012.0
91,Q2,"Natrl Silk Yarn,Fabrics,Madeup",Na,Russia,377986.0,247.989467,Fabric Materials,14.0,93736546.67,2012.0
92,B8,Plastic Glass,Ton,Russia,4762.0,0.963517,Plastic Products,8.0,4588.267954,2012.0
93,O9,"Computer Hardware, Peripherals",Na,New Zealand,47881.0,0.24382199999999998,Machinery and Parts,10.0,11674.44118,2012.0
94,H3,Fertilizers Manufactured,Ton,New Zealand,8.0,2.060479,Fertilizers,3.0,16.483832,2012.0
95,J1,Footwear Of Rubber/Canvas Etc.,Na,New Zealand,337.0,0.001913,Rubber Products,5.0,0.6446810000000001,2012.0
96,N5,Ic Engines And Parts,Na,New Zealand,71.0,0.372083,Machinery and parts,10.0,26.417893,2012.0
97,P6,Manmade Staple Fibre,Kgs,New Zealand,2598.0,20.576135,Fabric Materials,14.0,53456.79873,2012.0
98,M2,Oth Non Ferous Metal And Prodc,Kgs,New Zealand,254564.0,0.127642,Metals,2.0,32493.05809,2012.0
99,K9,"Plastc Sht, Film, Plts Etc",Kgs,New Zealand,1198831.0,1.131108,Plastic Products,8.0,1356007.335,2012.0
100,O4,"Aircraft, Spacecraft And Parts",Na,Nepal,3290.0,3.0200139999999998,Machinery and Parts,10.0,9935.84606,2012.0
101,M3,Auto Components/Parts,Na,Nepal,446.0,0.0020109999999999998,Machinery and Parts,10.0,0.896906,2012.0
102,P1,Consumer Electronics,Na,Nepal,3205.0,6.916036999999999,Electronic Components,11.0,22165.89859,2012.0
103,M4,Electrodes,Kgs,Nepal,491047.0,0.09109099999999999,Accumulators and Batteries,9.0,44729.96228,2012.0
104,S1,Handcrfs(Excl.Handmade Crpts),Na,Nepal,3731.0,0.590021,Handicrafts,12.0,2201.368351,2012.0
105,K5,"Human Hair, Products Thereo",Kgs,Nepal,195.0,0.310646,Cosmetics,6.0,60.57597,2012.0
106,I2,Inorganic Chemicals,Kgs,Nepal,101562458.0,0.34255,Chemicals,7.0,34790219.99,2012.0
107,E5,Natural Rubber,Ton,Nepal,367.0,32.611253999999995,Rubber Products,5.0,11968.33022,2012.0
108,K9,"Plastc Sht, Film, Plts Etc",Kgs,Nepal,14757998.0,5.575012,Plastic Products,8.0,82276015.95,2012.0
109,K8,Plastic Raw Materials,Ton,Nepal,1718113.0,0.03246,Plastic Products,8.0,55769.94798,2012.0
110,Q7,Rmg Silk,Na,Nepal,9637.0,8.331197999999999,Fabric Materials,14.0,80287.75512999999,2012.0
111,H8,"Drug Formulations, Biologicals",Kgs,Myanmar,8376370.0,0.158275,Chemicals,7.0,1325769.962,2012.0
112,P3,Washing Machine,Na,Myanmar,13476.0,0.23504099999999997,Electronic Components,11.0,3167.412516,2012.0
113,H2,Fertilizers Crude,Ton,Myanmar,8.0,0.072479,Fertilizers,3.0,0.579832,2012.0
114,F8,Finished Leather,Kgs,Myanmar,63801.0,0.00011100000000000001,Leather Products,1.0,7.081911,2012.0
115,N5,Ic Engines And Parts,Na,Myanmar,262.0,6.129418,Machinery and parts,10.0,1605.907516,2012.0
116,L2,Other Plastic Items,Na,Myanmar,5699.0,3.1e-05,Plastic Products,8.0,0.176669,2012.0
117,S6,Petroleum Products,Ton,Myanmar,35585.0,0.11232,Petroleum Products,13.0,3996.9072,2012.0
118,O6,"Railwy Trnsprt Equipmnts, Prts",Na,Myanmar,1643.0,0.008761,Machinery and parts,10.0,14.394323000000002,2012.0
119,L6,Copper And Prdcts Made Of Copr,Ton,Malaysia,60000.0,0.8428399999999999,Metals,2.0,50570.4,2012.0
120,H7,Dyes,Kgs,Malaysia,429.0,3.067377,Dyes,7.0,1315.904733,2012.0
121,M4,Electrodes,Kgs,Malaysia,115.0,1.3182049999999998,Accumulators and Batteries,9.0,151.593575,2012.0
122,I6,Plastic bags,Kgs,Malaysia,101.0,0.16464600000000001,Plastic Materials,8.0,16.629246,2012.0
123,O5,Motor Vehicle/Cars,Nos,Malaysia,86.0,0.0201,Machinery and parts,10.0,1.7286,2012.0
124,P8,"Cotton Fabrics, Madeups Etc.",Na,Japan,10455.0,39.238301,Fabric Materials,14.0,410236.43700000003,2012.0
125,S4,Cotton Raw Incld. Waste,Ton,Japan,1750.0,0.163917,Fabric Materials,14.0,286.85475,2012.0
126,N3,"Cranes, Lifts And Winches",Na,Japan,8006.0,66.487365,Machinery and parts,10.0,532297.8442,2012.0
127,H6,Dye Intermediates,Kgs,Japan,1085438.0,5.4000000000000005e-05,Dyes,7.0,58.613652,2012.0
128,I6,Plastic tubes,Kgs,Japan,3895.0,2.476269,Plastic Materials,8.0,9645.067755,2012.0
129,R5,"Jute, Raw",Ton,Japan,22.0,0.179068,Fabric Materials,14.0,3.939496,2012.0
130,Q3,"Manmade Yarn,Fabrics,Madeups",Na,Japan,2298.0,0.0012289999999999998,Fabric Materials,14.0,2.824242,2012.0
131,I4,Other Miscellaenious Chemicals,Kgs,Japan,3228410.0,4.037662999999999,Chemicals,7.0,13035231.61,2012.0
132,Q9,Rmg Wool,Na,Japan,6389.0,0.00036899999999999997,Fabric Materials,14.0,2.357541,2012.0
133,R4,Silk Waste,Kgs,Japan,13702.0,482.818849,Fabric Materials,14.0,6615583.869,2012.0
134,H4,Ayush And Herbal Products,Kgs,Italy,5.0,28.998178999999997,Cosmetics,6.0,144.990895,2012.0
135,H7,Dyes,Kgs,Italy,18013457.0,2.1435169999999997,Dyes,7.0,38612151.31,2012.0
136,R8,Floor Cvrng Of Jute,Sqm,Italy,59277.0,5.426137000000001,Handicrafts,12.0,321645.1229,2012.0
137,R6,Jute Yarn,Ton,Italy,35.0,0.103353,Fabric Materials,14.0,3.6173550000000003,2012.0
138,G3,Leather Footwear Component,Kgs,Italy,516869.0,5.606128,Leather Products,1.0,2897633.773,2012.0
139,M1,Zinc And Products Made Of Zinc,Ton,Italy,1331.0,1.175266,Metals,2.0,1564.279046,2012.0
140,E5,Natural Rubber,Ton,Iraq,1884.0,0.098716,Rubber Products,5.0,185.980944,2012.0
141,G8,Other Precious And Base Metals,Na,Iraq,13.0,0.687836,Metals,2.0,8.941868,2012.0
142,K7,Packaging Materials,Ton,Iraq,15.0,0.010148,Plastic Products,8.0,0.15222,2012.0
143,G7,Silver,Kgs,Iraq,140.0,0.010398000000000001,Metals,2.0,1.4557200000000001,2012.0
144,L5,"Aluminium, Products Of Aluminm",Ton,Iraq,1569.0,58.364720999999996,Metals,2.0,91574.24725,2012.0
145,H4,Ayush And Herbal Products,Kgs,Iraq,659654.0,0.000505,Cosmetics,6.0,333.12527,2012.0
146,P1,Consumer Electronics,Na,Iraq,1131.0,0.24188099999999998,Electronic Components,11.0,273.567411,2012.0
147,L3,Iron And Steel,Ton,Iraq,8524.0,5.865856,Metals,2.0,50000.55654,2012.0
148,L4,Products Of Iron And Steel,Na,Iraq,1867.0,3.6881800000000005,Metals,2.0,6885.83206,2012.0
149,O4,"Aircraft, Spacecraft And Parts",Na,Iran,5842595.0,0.030438,Machinery and Parts,10.0,177836.9066,2012.0
150,P7,Cotton Yarn,Ton,Iran,67.0,0.004975,Fabric Materials,14.0,0.333325,2012.0
151,H6,Dye Intermediates,Kgs,Iran,46104.0,286.487031,Dyes,7.0,13208198.08,2012.0
152,M4,Electrodes,Kgs,Hong Kong,76170.0,5.237179,Accumulators and Batteries,9.0,398915.9244,2012.0
153,H9,Agro Chemicals,Kgs,Hong Kong,47692.0,2.508265,Fertilizers,3.0,119624.1744,2012.0
154,L5,"Aluminium, Products Of Aluminm",Ton,Hong Kong,98.0,321.27484100000004,Metals,2.0,31484.934419999998,2012.0
155,I8,Auto Tyres And Tubes,Nos,Hong Kong,12445.0,56.761351,Rubber Products,5.0,706395.0132,2012.0
156,I2,Inorganic Chemicals,Kgs,Hong Kong,29094.0,3.695239,Chemicals,7.0,107509.2835,2012.0
157,P6,Manmade Staple Fibre,Kgs,Hong Kong,26434.0,0.014667,Fabric Materials,14.0,387.707478,2012.0
158,L6,Copper And Prdcts Made Of Copr,Ton,Hong Kong,969.0,0.495946,Metals,2.0,480.57167400000003,2012.0
159,S4,Cotton Raw Incld. Waste,Ton,Hong Kong,164.0,7.9336199999999995,Fabric Materials,14.0,1301.1136800000002,2012.0
160,I5,Cosmetics And Toiletries,Na,Germany,10.0,0.046586,Cosmetics,6.0,0.46586000000000005,2012.0
161,P8,"Cotton Fabrics, Madeups Etc.",Na,Germany,885430.0,49.671149,Fabric Materials,14.0,43980325.46,2012.0
162,G2,Footwear Of Leather,Na,Germany,47775598.0,232.26164599999998,Leather Products,1.0,11096439030.0,2012.0
163,P1,Consumer Electronics,Na,France,4102474.0,0.338519,Electronic Components,11.0,1388765.396,2012.0
164,N3,"Cranes, Lifts And Winches",Na,France,40.0,0.068614,Machinery and parts,10.0,2.74456,2012.0
165,H7,Dyes,Kgs,France,2170.0,13.216132,Dyes,7.0,28679.006439999997,2012.0
166,P2,Microwave ,Na,France,3.0,1.1106120000000002,Electronic Components,11.0,3.331836,2012.0
167,I2,Inorganic Chemicals,Kgs,France,129.0,0.047313,Chemicals,7.0,6.103377,2012.0
168,L7,Lead And Products Made Of Led,Ton,France,169.0,5.992218,Metals,2.0,1012.684842,2012.0
169,Q3,"Manmade Yarn,Fabrics,Madeups",Na,France,1609934.0,1.105984,Fabric Materials,14.0,1780561.245,2012.0
170,O5,Motor Vehicle/Cars,Nos,France,871.0,1.540418,Machinery and parts,10.0,1341.704078,2012.0
171,O3,Pumps Of All Types,Na,France,726.0,1.5777459999999999,Machinery and parts,10.0,1145.443596,2012.0
172,Q7,Rmg Silk,Na,France,1267.0,0.039101,Fabric Materials,14.0,49.540966999999995,2012.0
173,Q9,Rmg Wool,Na,France,2.0,9.459936,Fabric Materials,14.0,18.919872,2012.0
174,Q5,"Wollen Yarn,Fabrics,Madeupsetc",Na,France,107910.0,4.316543,Fabric Materials,14.0,465798.1551,2012.0
175,L5,"Aluminium, Products Of Aluminm",Ton,Denmark,1904.0,0.001011,Metals,2.0,1.9249439999999998,2012.0
176,K7,Packaging Materials,Ton,Denmark,1250.0,16.820124,Plastic Products,8.0,21025.155,2012.0
177,B8,Plastic Water Bottles,Ton,Denmark,330737.0,0.005961999999999999,Plastic Products,8.0,1971.853994,2012.0
178,Q9,Rmg Wool,Na,Denmark,27924.0,0.049107,Fabric Materials,14.0,1371.263868,2012.0
179,N2,Bicycle And Parts,Na,China ,32019.0,150.672197,Machinery and Parts,10.0,4824373.076,2012.0
180,L3,Iron And Steel,Ton,China ,584448.0,0.346188,Metals,2.0,202328.8842,2012.0
181,Q3,"Manmade Yarn,Fabrics,Madeups",Na,China ,4066.0,0.313823,Fabric Materials,14.0,1276.004318,2012.0
182,O5,Motor Vehicle/Cars,Nos,China ,22.0,21.383558999999998,Machinery and parts,10.0,470.43829800000003,2012.0
183,Q2,"Natrl Silk Yarn,Fabrics,Madeup",Na,China ,20.0,8.532178,Fabric Materials,14.0,170.64356,2012.0
184,L4,Products Of Iron And Steel,Na,China ,4919.0,847.6290710000001,Metals,2.0,4169487.4,2012.0
185,L5,"Aluminium, Products Of Aluminm",Ton,China ,1054.0,4.299151999999999,Metals,2.0,4531.306208,2012.0
186,H5,"Bulk Drugs, Drug Intermediates",Kgs,China ,5900893.0,96.323745,Chemicals,7.0,568396112.6,2012.0
187,M4,Electrodes,Kgs,China ,53806.0,0.140426,Accumulators and Batteries,9.0,7555.761356,2012.0
188,R6,Jute Yarn,Ton,China,243772.0,506.10118700000004,Fabric Materials,14.0,123373298.6,2012.0
189,E5,Natural Rubber,Ton,China,2256919.0,257.625356,Rubber Products,5.0,581439560.8,2012.0
190,L8,"Nickel, Product Made Of Nickel",Ton,China,33013.0,2.131121,Metals,2.0,70354.69757,2012.0
191,O9,"Computer Hardware, Peripherals",Na,China,936645.0,2.598068,Machinery and Parts,10.0,2433467.402,2012.0
192,L6,Copper And Prdcts Made Of Copr,Ton,China,20181.0,97.624177,Metals,2.0,1970153.5159999998,2012.0
193,P8,"Cotton Fabrics, Madeups Etc.",Na,China,26.0,0.031345,Fabric Materials,14.0,0.81497,2012.0
194,N3,"Cranes, Lifts And Winches",Na,China,461350.0,285.888782,Machinery and parts,10.0,131894789.6,2012.0
195,F8,Finished Leather,Kgs,China,12197.0,0.181193,Leather Products,1.0,2210.0110210000003,2012.0
196,R8,Floor Cvrng Of Jute,Sqm,China,185478.0,658.335223,Handicrafts,12.0,122106700.5,2012.0
197,J1,Footwear Of Rubber/Canvas Etc.,Na,China,48856.0,1422.0259039999999,Rubber Products,5.0,69474497.57,2012.0
198,E8,Iron Ore,Ton,China,422835835.0,266.99051299999996,Metals,2.0,113000000000.0,2012.0
199,O5,Motor Vehicle/Cars,Nos,China,50294.0,0.147896,Machinery and parts,10.0,7438.281424,2012.0
200,I3,Organic Chemicals,Kgs,China,958.0,30.520917999999998,Chemicals,7.0,29239.039439999997,2012.0
201,K7,Packaging Materials,Ton,China,2126913.0,40.879612,Plastic Products,8.0,86947378.2,2012.0
202,K9,"Plastc Sht, Film, Plts Etc",Kgs,China,3565220.0,2.878524,Plastic Products,8.0,10262571.34,2012.0
203,L4,Products Of Iron And Steel,Na,China,696.0,0.5902069999999999,Metals,2.0,410.78407200000004,2012.0
204,H8,"Drug Formulations, Biologicals",Kgs,China,356.0,0.356426,Chemicals,7.0,126.887656,2012.0
205,H9,Agro Chemicals,Kgs,China,59.0,0.085962,Fertilizers,3.0,5.071758,2012.0
206,R8,Floor Cvrng Of Jute,Sqm,China,76848.0,144.661236,Handicrafts,12.0,11116926.66,2012.0
207,H4,Ayush And Herbal Products,Kgs,China,20181.0,97.624177,Cosmetics,6.0,1970153.5159999998,2012.0
208,M4,Electrodes,Kgs,China,112442.0,0.34712800000000005,Accumulators and Batteries,9.0,39031.76658,2012.0
209,H3,Fertilizers Manufactured,Ton,China,12.0,0.026374,Fertilizers,3.0,0.316488,2012.0
210,G1,Leather Garments,Kgs,China,1398.0,0.099725,Leather Products,1.0,139.41555,2012.0
211,L8,"Nickel, Product Made Of Nickel",Ton,China,12154065.0,0.31863600000000003,Metals,2.0,3872722.655,2012.0
212,I3,Organic Chemicals,Kgs,China,65.0,277.623577,Chemicals,7.0,18045.53251,2012.0
213,M3,Auto Components/Parts,Na,China,1294.0,106.89791899999999,Machinery and Parts,10.0,138325.9072,2012.0
214,P3,Washing Machine,Na,China,26679.0,60.004875,Electronic Components,11.0,1600870.06,2012.0
215,K7,Packaging Materials,Ton,China,199687.0,106.14988600000001,Plastic Products,8.0,21196752.29,2012.0
216,K9,"Plastc Sht, Film, Plts Etc",Kgs,China,1000.0,0.008690999999999999,Plastic Products,8.0,8.691,2012.0
217,O5,Motor Vehicle/Cars,Nos,China,9416.0,77.125897,Machinery and parts,10.0,726217.4462,2012.0
218,H4,Ayush And Herbal Products,Kgs,Canada,803.0,0.00601,Cosmetics,6.0,4.82603,2012.0
219,H6,Dye Intermediates,Kgs,Canada,2.0,0.0008960000000000001,Dyes,7.0,0.0017920000000000002,2012.0
220,P2,Microwave ,Na,Canada,4711.0,35.469745,Electronic Components,11.0,167097.9687,2012.0
221,R5,"Jute, Raw",Ton,Canada,0.0,72.85355899999999,Fabric Materials,14.0,0.0,2012.0
222,L2,Other Plastic Items,Na,Canada,2420.0,0.059547,Plastic Products,8.0,144.10374,2012.0
223,K8,Plastic Raw Materials,Ton,Canada,10627.0,2.2488580000000002,Plastic Products,8.0,23898.61397,2012.0
224,N1,"Aircraft, Spacecraft And Parts",Na,Brazil,4235.0,5.474074,Machinery and Parts,10.0,23182.703390000002,2012.0
225,N7,"Atm, Injctng Mlding Mchnry Etc",Na,Brazil,30000.0,2.720103,Machinery and Parts,10.0,81603.09,2012.0
226,S2,Carpet(Excl. Silk) Handmade,Sqm,Brazil,1001617.0,1.495039,Handicrafts,12.0,1497456.4780000001,2012.0
227,N4,Air conditioner,Na,Brazil,18519094.0,0.24637699999999998,Electronic Components,11.0,4562678.822,2012.0
228,P2,Microwave ,Na,Brazil,3036.0,0.553487,Electronic Components,11.0,1680.386532,2012.0
229,F8,Finished Leather,Kgs,Brazil,136.0,19.924954999999997,Leather Products,1.0,2709.79388,2012.0
230,K5,"Human Hair, Products Thereo",Kgs,Brazil,1205.0,0.118404,Cosmetics,6.0,142.67682,2012.0
231,Q7,Rmg Silk,Na,Brazil,2334.0,56.069880000000005,Fabric Materials,14.0,130867.0999,2012.0
232,N2,Bicycle And Parts,Na,Bhutan,2008.0,0.010799,Machinery and Parts,10.0,21.684392000000003,2012.0
233,O9,"Computer Hardware, Peripherals",Na,Bhutan,2711.0,4.782305,Machinery and Parts,10.0,12964.82886,2012.0
234,H7,Dyes,Kgs,Bhutan,1190.0,19.307109,Dyes,7.0,22975.45971,2012.0
235,P2,Microwave ,Na,Bhutan,4582.0,0.026643,Electronic Components,11.0,122.078226,2012.0
